row_id,english_source,output_A,output_B,A_authenticity_1to5,A_adequacy_1to5,B_authenticity_1to5,B_adequacy_1to5,preference_A_B_tie,notes
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,美國體育訓練學會支持一個獨立調查，可能會揭露喺 Larry Nassar 嘅受害者以那樣勇敢嘅方式描述咗比例嘅虐待，點解可以俾人發現唔到咁耐，同時亦都接受任何必要同適當嘅改變。,美國體操會支持獨立調查，可能會照亮性 Abuse 比描述咗既比例咁多嘅 Survivors 勇敢揭發嘅性 Abuse 係咪可以咁長時間唔被發現，並且欣賞任何必要嘅同適宜嘅變改。,,,,,,
144,"""This is not going to be goodbye. This is the closing of one chapter and the opening of a new one.""",呢個唔係道別。呢個係一章嘅結束同新一章嘅開始。,呢個唔係告別。呢個係一個章節嘅結束同埋一個新章節嘅開始。,,,,,,
31,"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",嘅羽毛結構顯示佢哋唔係用喺飛行，而係用喺調節溫度或者展示。研究員建議，雖然呢度係幼龍嘅尾，但樣本顯示係成龍嘅羽毛，唔係小鴨嘅絨毛。,羽毛嘅結構顯示呢個唔係用嚟飛晒嘅，而是用嚟調溫或者展示嘅。研究人員提出即使呢個係一隻幼龍嘅尾羽，樣本顯示係成龍嘅羽毛而不是小鳥嘅絨羽。,,,,,,
57,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""",呢場爭論係由颱風卡特里娜過後嘅緊急援助同重建開支嘅爭議而引發嘅；而佢哋入面有啲財政保守派幽默咁將佢標籤做「布希嘅新奧良計劃」。,辯論係因為風暴Katrina之後救災重建支出有争议而起；部分財政保守派諗好笑地稱之為「布殊的新奥良交易」。,,,,,,
161,"Their thermal behavior is not as steady as large caves on Earth that often maintain a fairly constant temperature, but it is consistent with these being deep holes in the ground,"" said Glen Cushing of the United States Geological Survey (USGS) Astrogeology Team and of Northern Arizona University located in Flagstaff, Arizona.",佢哋嘅熱力行為唔係咁穩定，好似地球上面嗰啲大洞穴咁，嗰啲洞穴通常都保持住相對恆定嘅溫度，不過佢哋嘅行為係同呢啲係地面深處嘅洞穴一樣嘅，呢點係美國地質調查局（USGS）天文地球學團隊成員同北亞利桑那大學 Flagstaff 校區嘅 Glen Cushing 話咁嘅。,呢個洞嘅溫度波動唔係同地球上面大洞咁穩陣，但係同埋地下深坑嘅溫度波動一致，格斯博士講嗰句話，佢系美國地質調查局同阿利桑拿北亞利桑拿大學地質學團隊既成員，住鳳凰城附近。,,,,,,
160,"""They are cooler than the surrounding surface in the day and warmer at night.",佢哋日頭比嗰啲周邊表面冷，但係夜晚就暖啲。,佢地日間較周邊表面涼喺，夜晚則較暖啲,,,,,,
190,"As a result, the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.",結果，表演者喺舞台上面抽大麻，而嗰間戲院本身都係鼓勵觀眾加入。,結果，表演者台上抽大麻煙，戲院本身都鼓勵觀眾加入。,,,,,,
177,"The final score was a one-point victory, 21 to 20, ending the All Blacks' 15 game winning streak.",最後得一分贏，21比20，止住黑鬥士咗15場連勝嘅紀錄。,最終比分係一球勝出，二十四點對二十點，完晒 anz blacks陣十五場嘅勝連勝。,,,,,,
147,Coalition and Afghan troops moved into the area to secure the site and other coalition aircraft have been sent to assist.,Coalition軍隊同阿富汗軍隊入到該區保障場地，其他 Coalition機亦喺度幫手。,聯盟同阿富汗士兵入咗呢個區域嚟保護場地，仲有其他聯盟飛機亦都俾人派去幫手。,,,,,,
171,"In late 2015, TogiNet established AstroNet Radio as a subsidiary station.",在二零一五年底，TogiNet 建立咗 AstroNet Radio 做一個子公司。,2015年尾，TogiNet將AstroNet Radio設立做一間子公司。,,,,,,
197,"Entertainment news website TMZ understands the photographer stopped his vehicle on the other side of Sepulveda Boulevard and attempted to take pictures of the police stop before crossing the road and continuing, prompting the California Highway Patrol police officer conducting the traffic stop to order him back across, twice.",娛樂新聞網站TMZ知相，攝影師停車埋Sepulveda大路嘅另一邊，試著拍警車執法嘅相片，喺度過路同返程，仲引起執交通 Stops嘅加州高速公路巡邏警察兩次叫返過去。,娛樂新聞網站TMZ知，嗰位攝影師喺沙普維達大道嗰邊停咗車，試圖喺過马路之前拍警察攔車嘅相，然後先過去。呢度令到加利福尼亞州公路巡邏嘅警察，喺佢攔住交通嗰陣，叫佢返過去，不過叫咗兩次。,,,,,,
195,"The photographer was transported to Ronald Reagan UCLA Medical Center, where he subsequently died.",攝影師喺羅拔倫·雷根 UCLA 医院運走，之後俾人送;line 1,攝影師被送咗去羅納多里根UCLA醫院，之後佢死咗。,,,,,,
56,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",基辛格女士喺阿根廷劇院宣布佢參選總統嘅 intention，呢度就係佢做布宜羅斯艾利斯省代表，喺 2005 年開始參選參議員嘅地方。,基chner太宣布會出爭總統，同一地點佢之前已經用過嚟搞2005年參議員選舉，當時係布宜諾斯艾利斯省代表身份出嚟嘅。,,,,,,
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",一隻抗體混合物 ZMapp，最初喺呢個領域顯示出希望，不過正式研究顯示佢喺防止死亡方面嘅益處少過所期望嘅。,一粒抗体雞尾酒ZMapp，最初喺野上見到希望，但正式研究顯示呢粒抗体少少得益，唔如期望咁有效防止死亡。,,,,,,
142,"Despite there being no tsunami threat, residents started to panic and began to leave their businesses and homes.",雖然冇海嘯嘅危險，但係居民開始恐慌，而且開始離開佢哋嘅舖頭同屋企。,雖然無嘢海嘯嘅威脅， Residents開始噉慌張，開始離開企晒嘅舖面同屋企。,,,,,,
34,The governor's office said nineteen of the injured were police officers.,署長辦公室話有十九個受傷嘅係警察。,政府办公室講呢次事件有啲受傷人中有十九個係警察嘅。,,,,,,
74,"But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.",但首相John Howard講呢個舉動仲係只系為了保障醫院設施唔會被塔斯曼政府降低等級，畀额外AUD$45百萬。,但係總理喺約翰·郝華德話，呢單嘢只係為咗保護醫院嘅設施唔會俾 Tasmanian 政府降級，而係為咗贈送多四千五百萬澳幣。,,,,,,
183,"The earthquake was centered about 20 km (15 miles) north-northeast of Dillon, and about 65 km (40 miles) south of Butte.",呢場地震嘅中心大約喺迪倫北偏東約20公里（15英里）嘅地方，同埋大約喺比特南約65公里（40英里）嘅地方。,地震中心點喺迪倫北方約二十公里，六十五公里喺班太南部。,,,,,,
36,"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.",佢哋發現太阳嘅運作原理同其他星嘅大致上一樣：係發現到系統里面所有星星嘅活動都係由佢哋嘅光度同自轉率所驅動，冇其他嘅因素。,佢哋發現太陽嘅運作同其他恆星一樣係基於同一套基本原則：發現呢個系統入面所有恆星嘅活動都係由佢哋嘅光度同轉動而驅動，冇其他嘢。,,,,,,
138,"This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.",呢啲沉積物係創造沙洲同沙灘嘅必要嘅，佢哋做為野生動物嘅棲息地。,呢種淤泥對應成山咀同 Beach 嚟講係必要嘅，做野鳥嘅棲息地。,,,,,,
30,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.",因為恐龍嘅羽毛冇一條發育得好嘅主幹，叫做樸桿，不過佢哋有其他羽毛嘅特徵——羽枝同羽針——所以研究員推斷樸桿可能係一個後期進化嘅發展，而呢啲其他特徵先有。,因為dinosaurs嘅feathers冇 WELL-developedshaft，叫rachis，但有其他feather嘅feature，既barbs同barbules，researchers推斷rachis係可能系後期evolution發展嘅，呢些其他feature就冇咁晚发展。,,,,,,
146,"The ruling party, South West Africa People's Organisation (SWAPO), also retained a majority in the parliamentary elections.",執政黨南西非人民組織（SWAPO）喺立法會選舉都保持多數。,治㎝黨，南非西南非洲人民組織（SWAPO），亦在立法會選舉得多数。,,,,,,
78,U.S. President George W. Bush welcomed the announcement.,美國總統George W. 嘅布殊歡迎呢個宣布。,美國總統喺orge W. Bush 欢迎咗呢個宣佈。,,,,,,
143,"Although Winfrey was tearful in her farewell, she made it clear to her fans she will be back.",雖然溫碧霞在道別時眼泛淚光，但佢明講俾fans聽，會返嚟。,雖然吳鐵城喺告別時眼濕濕嘅，但佢已經清楚咁話畀影迷知佢會再回嚟。,,,,,,
46,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.",我哋會努力喺2020年，由2005年嘅水平開始，將每單位GDP嘅二氧化碳排放量減少一個顯著嘅幅度，胡說。,Hu 說會努力喺二零二零年之前將每單位GDP嘅二氧化碳排放量同二零零五年相比減低一大截。,,,,,,
26,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.",土耳其都會接手監管俘獲嘅伊斯國武裝分子，聲明話歐洲國家唔想將佢哋送返去。,土耳其會接手看管既被俘ISIS戰士，呢個聲明講到歐洲國家已經拒返呢啲人。,,,,,,
148,"The crash occurred high up in mountainous terrain, and is believed to have been the result of hostile fire.",Crash發生高處山野噉，係相信系敵人火勢造成嘅。,呢單意外發生喺山多嘅地方，好高，相信係由敵對火力引起嘅。,,,,,,
156,Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over.,阿姆斯特丹政府同安妮復仇者博物館嘅官員講呢棵樹被真菌感染，對公眾健康構成威脅，他們認為樹咪即刻倾倒。,阿姆斯特丹市同埋安妮弗蘭克博物館嘅官員話，呢棵樹感染咗菌，而且對公眾健康有危害，佢哋話呢棵樹好快就會倒，所以屬於迫在眉睫嘅危險。,,,,,,
48,"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""",胡/MIT 輔導緊發展中地區「避忌先污染後治理嘅老路」。,胡建議發展中國家「避免走先污染後治理嘅老路」。,,,,,,
95,"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.","日本核電局 ((__日__本__核__電__局__)) 嘅 語料 ((__語__料__)) 表明 (__表__明__), 放射性铯 (__放__射__性__铯__) 唔单 (__不__單__) 有 放射性碘 (__放__射__性__碘__), 亦 (__亦__) 在 廠房 (__廠__房__) 找到 (__找__到__).",根據日本嘅核能機構，核子廠入面已經搵到放射性釷同埋碘。,,,,,,
192,"After the results came in, Gingrich lauded Santorum, but had tough words for Romney, on whose behalf negative campaign advertisements were aired in Iowa against Gingrich.",結果出咗之後，Gingrich讚揚咗Santorum，但係對Romney嘅言語就唔夠好，而佢哋喺愛荷華就曾經放咗負面宣傳廣告嚟反對Gingrich。,結果出嚟后，GINGRICH讚SANТОRUM，但對ROMNEY就講咗幾句硬嘅話，因為IOWA陣有負面竞选广告喺ROMNEY嘅名下出嚟反GINGRICH。,,,,,,
140,"Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.",雖然洪水之后水位只會上升幾尺，官方希望已經足夠恢復下游被蝕的沙洲。,雖然洪水過後水位只會上升幾尺，官員都希望咁樣可以夠修復下游嘅被侵蝕沙洲。,,,,,,
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",美國體操同美國奧委會同一目標——令體操嘅運動，同其他運動，盡可能安全，俾運動員追夢，在一個安全、正面同受尊重嘅環境里面。,美國體育訓練學院同埋美國奧林匹克委員會嘅目標一樣——想將體操呢項運動，同其他運動，盡可能安全，好讓運動員喺一個安全、積極、有權力嘅環境入面，可以追夢。,,,,,,
176,"South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Bafokeng Stadium in Rustenburg, South Africa.",南非喺皇家巴福康 stadium 打 Rugby 同紐西蘭打敗佢地喺錫倫堡嘅 Tri Nations 唔榜會上。,南非喺羅亞爾巴福肯體育場舉行嘅一場 rugby union Tri Nations 比賽入面，南非隊已经擊敗咗紐西蘭隊（All Blacks）。,,,,,,
170,"In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.","早時钟，呢個節目-only在長!"");(冇完嘅 INTERNET 收音機站 TogiNet 收音機度播出，一間集中講話節目的站。",喺佢早期，節目只係喺長期開放嘅網上電台 TogiNet Radio 出現，呢個網站係專注喺訪談節目嘅。,,,,,,
52,The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,佢哋嘅報告開頭就呼籲要喺美國開一場公開辯論，令到大家對中東政策嘅問題達成一致見解。,報告開首訴求美國有開放討論嘅需要，形成關於對中东政策嘅共識。,,,,,,
127,"Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.",巴厘島會議议程上嘅其他主题还包括拯救世界剩余嘅森林，同埋分享科技协助发展中国家以较唔污染嘅方式发展。,巴厘嘅議程上仲有其他嘗題，包括救森林同分享技術，幫助發展中地區以較少污染嘅方式成長。,,,,,,
136,Fire rescue crews eventually doused the fire by 11:35 pm.,消防隊到咗深夜十一點三十五分先至將火熄晒。,火救車最終喺夜十一点三十五分撲滅火勢。,,,,,,
109,She directed officers to her black Oldsmobile Intrigue which was 500 feet away.,佢嗌啲差人過去佢嗰部黑色奧斯摩比 Intrigue，嗰度係有五百尺遠嘅。,佢指晒警員去嗰部啲黑嘅Oldsmobile Intrigue，距佢呢度有五百尺。,,,,,,
80,"The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.",大西洋颱風季嘅第十個命名風暴，亞熱帶風暴薩利，今日喺大西洋形成。,第十個命名颶風個大西洋颶風季，副熱帶低氣壓Jerry今日喺大西洋形成。,,,,,,
119,"His work is of such recognized quality and detail that he is one of the very few ""household names"" among philatelists. Some specialize in collecting his work alone.",呢個揸業嘅水平同細節都系認可度好高，幾個個集邮家都知佢，幾少人個名都入到 Household Names陣。有啲人專門揸佢地嘅藏品。,佢嘅作品質素同細節都幾出名，所以佢係集郵愛好者當中少數幾個「家喻戶曉」嘅名人之一。有啲人專門收集佢嘅作品。,,,,,,
116,Plans for vaccines to be delivered to the historically most affected areas this year were delayed due to lack of funds and low prioritisation relative to other diseases.,今個年度要送疫苗去歷史最嚟受影響嘅地方嘅計劃，因為缺乏資金同埋同其他疾病比較下優先級唔夠，所以延遲咗。,疫苗噉料野會送到歷史上受影響最大嘅地區，呢年因為�.sendStatus: 缺乏資金同其他疾病比較低優先度而耽誤喇,,,,,,
92,"This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.",呢個理論講，一個星系周圍嗰陣嘅暗物質，主要係喺嗰個星系附近一個好似環咁嘅位置，而且係由好多細粒粒子組成嘅。,呢個理論講系，銀河周邊嘅暗 Matter 大部分都系形成一層 halo，由好多細粒粒物質構成。,,,,,,
76,"No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.","Tong yat jyu maai dam2 gaa4 ou4 bing6 zai6 gong1 baai6, sed1 yih6 maai jyu maai yih6 gaa4 ou4 bing6, sed1 yih6 maan4 tin4 yi6 zat6 lo5, sed1 yih6 baat6 daai4 tong4 yan4 gwi5 faat3 tong4 yan4 gwi5 daai4 ci4 daai4 jyu6 tsun2 tsunami gwi4 ming4 daai4 zai6 baa4 sai6, sed1 yih6 tong4 yan4 gwi5 daai4 ci4 daai4 jyu6 PTWC gwi4 ming4 daai4 zai6 gong1 baai6.",Tonga 嘅地方冇有報告有嚴重損毀或者人傷，不過電力暫時冇咗，據講呢個阻止咗 Tongan 嘅當局收到 PTWC 發出嘅海嘯警告。,,,,,,
63,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.",歷史學界批評過去聯邦調查局嘅政策，話佢哋會將資源集中喺啲容易解決嘅案件上面，特別係盜車案，目的係為咗提升呢個機構嘅成功率。,史家批评過去FBI嘅政策集中资源做易解决嘅案件，特別系偷车案，意图提升机构嘅成功比率。,,,,,,
153,Tournament top seeds South Africa started on the right note when they had a comfortable 26 - 00 win against 5th seeded Zambia.,南非嘅球手喺次賽開場就打個好開心，輕易勝 Zambia 二十四比零。,南非頂尖種子隊喺比賽開頭就順利，以26比00輕鬆擊敗第五種子贊比亞。,,,,,,
62,"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.",意大利其他城市喺世界其他地方，特別係波蘭，呢種安排好多人睇到。,意大利好多其他城市同世界其他地方，特別係波蘭，都設咗類似嘅嘢，呢啲嘢俾好多人都睇到。,,,,,,
20,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",呢部電影既演員有Ryan Gosling同Emma Stone，得提名所有緊重要獎項嘅類別。,呢套戲有雷恩高斯林同艾瑪史東主演，喺所有主要獎項都獲得提名。,,,,,,
134,"Between 10:00-11:00 pm MDT, a fire was started by the inmates in the yard.",凌晨十時至十一時，囚犯在院場點火。,喺MDT 10:00至11:00之間，有犯人喺籠欄度着火。,,,,,,
126,They all ran back from where the accident had happened.,佢哋全部都從出事嘅地方跑返嚟。,佢哋都奔回嚟喇事故發生嘅地方,,,,,,
87,The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media.,社區嘅不滿引致咗而家嘅嘩勁草擬一條政策，關於性內容，係為咗呢個主辦咗百萬級開放授權媒體嘅網站。,社區嘅怒火引致現時嘅努力去起草一啲關於網站嘅政策，呢個網站有 MILLIONS 嘅開放 Licensing 嘅媒材，內容涉及性嘅問題。,,,,,,
191,"Former House Speaker Newt Gingrich, Texas governor Rick Perry, and Congresswoman Michele Bachmann finished in fourth, fifth, and sixth place, respectively.",前議長新特甘寧、德州州長瑞克柏利同埋國會議員米歇兒白漢，分別得第四、第五同埋第六名。,前議會揸台人新特·甘迺迪、德州 gubernator 裏克·皮耶喇，以至眾議員米莉珍·巴咸，最終排第四、第五同第六位。,,,,,,
174,"Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.",比什凱克被一陣 observers 描述成淪入一場「無政府狀態」，因為有人幫派流蕩街頭掠奪消費貨品商店。,一個觀察者形容比什凱克陷入「無政府狀態」，因為成群嘅人喺街頭搶掠商店嘅消費品。,,,,,,
159,Infrared images show that the temperature variations from night and day show that they are likely caves.,红外線圖顯示日夜溫度變化很大，料係洞穴。,紅外影像顯示，日夜溫度變化顯示佢哋可能係洞穴。,,,,,,
77,Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted.,香港話版本：香港話既話，可以翻譯成：,海島啲十四間學校，喺海邊或者附近嘅都關咗，整個禮拜三都係咁，雖然警告令已經取消咗。,,,,,,
186,Suspected cases of H5N1 in Croatia and Denmark remain unconfirmed.,克羅地亞同丹麥嘅H5N1疑似個案仲未確認。,克羅地喇 LAND 和 丹麥 LAND 嘅 疑似 H5N1 報道 唔係 確認過,,,,,,
154,"Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.",喺對呃佢哋南面姐妹嘅比賽入面，南非開頭好明顯係生鏽，不過佢哋跟住比賽進行，成日都係逐步進步。,"對陣南邊 })).娣娣队出嚟玩阵锈蚀咗多, 但是呢队南非队随着赛程发展就渐渐进步了。",,,,,,
65,"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.",羅賓·烏薩帕打咗一輪入面最高嘅分数，得返70分，只係用咗41個球，不過佢打咗11個四分同埋2個六分。,羅賓UTHAPA打到成場最高分，41球入面70分，仲打晒11支四和2支六。,,,,,,
53,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,報告好kriti幾乎每一方面既現行政策向Iraq俾Executive用，它催緊即刻變方向。,呢份報告對行政長官目前對伊拉克政策嘅幾乎每個方面都極度批評，佢哋催促立即改變方向。,,,,,,
