row_id,english_source,output_A,output_B,A_adequacy_1to5,A_fluency_1to5,B_adequacy_1to5,B_fluency_1to5,preference_A_B_tie,notes
156,Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over.,阿姆斯特丹市和安妮·弗兰克博物馆的官员表示，这棵树感染了真菌，并构成公共卫生隐患，因为他们认为它有立即倒塌的危险。,阿姆斯特丹市官员和安妮·弗兰克博物馆的工作人员表示，这棵树被真菌感染，并且存在公共卫生风险，因为他们认为这棵树 imminent danger of falling over 即将倒下。,,,,,,
49,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""",他补充说，他们不应该被要求承担超出他们发展阶段、责任和能力范围的义务。,他补充说，“他们不应该被要求承担超出其发展阶段、责任和能力的义务。,,,,,,
61,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,几块大型电视屏幕被安装在罗马的各个地方，让民众观看仪式。,在罗马的各个地方安装了几个大电视屏幕，让人们观看仪式。,,,,,,
102,"The satellites, both of which weighed in excess of 1,000 pounds, and traveling at approximately 17,500 miles per hour, collided 491 miles above the Earth.",这两颗卫星都重超过一千磅，以大约每小时17500英里的速度飞行，在距离地球491英里处相撞。,这颗卫星，重量都超过1000磅，并以大约每小时17500英里的速度飞行，在距离地球491英里的高度相撞。,,,,,,
58,Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,自由派對重建工作的批評集中於向被認為是華盛頓內部人士的重建合約。,重建努力受到的自由派批评主要集中在将重建合同授予华盛顿内部人士的问题上。,,,,,,
51,"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.",它警告说，在此时此刻，没有任何行动能保证能够阻止伊拉克的教派战争、暴力的加剧或局势向混乱滑落。,它警告说没有人能保证此时伊拉克的任何行动将停止教派战争、不断加剧的暴力或滑向混乱。,,,,,,
132,"When the fighting ceased after the wounded were transported to the hospital, about 40 of the other remaining inmates stayed in the yard and refused to return to their cells.",当战斗结束后，伤员被送往医院后，大约有四十名其他囚犯留在院子里拒绝回到他们的牢房。,当伤员被送往医院后战斗停止，大约40名其余在押人员留在院子里，拒绝返回他们的牢房。,,,,,,
126,They all ran back from where the accident had happened.,他们全都跑回了事故发生的地点。,他们都从事故发生的地方跑回来了。,,,,,,
198,"According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.",根据警方，撞倒摄影师的车辆司机不太可能面临刑事指控。,根据警方的说法，撞到摄影师的车辆司机很可能不会面临刑事指控。,,,,,,
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,西米诺夫说，在2013年参加 Sharks Tank 节目时，节目评审团没有给这家初创企业资金支持，之后销售额得到了提升。,西蒙诺夫表示，在他2013年出现在一档《鲨鱼 Tank》节目中后，销售额提升了，该节目的评委团拒绝资助那家初创公司。,,,,,,
180,"The final match of the series will take place at Ellis Park in Johannesburg next week, when the Springboks play Australia.",该系列决赛将于下周在约翰内斯堡的艾利斯公园举行，当时 Springboks 将对阵澳大利亚。,系列赛的决赛将于下周在约翰内斯堡的埃利斯公园举行，届时春湾队将对阵澳大利亚队。,,,,,,
71,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.",总理史蒂芬·哈珀在与NDP党领袖杰克·莱顿在总理办公室举行的25分钟会晤后，已同意在第二次审议之前，将政府的《清洁空气法案》提交给一个跨党派委员会进行审查。,总理斯蒂芬·哈珀已同意在周二与NDP领袖杰克·莱顿在PMO会面后的25分钟内，将政府的“清洁空气法案”提交给跨党派委员会进行审查，在第二次阅读之前。,,,,,,
120,"His 1,000th stamp was the magnificent ""Great Deeds by Swedish Kings"" by David Klöcker Ehrenstrahl in 2000, which is listed in the Guinness Book of World Records.",他的第1000枚邮票是2000年的“瑞典国王的伟大业绩”邮票，由大卫·克勒克尔·埃伦斯特拉尔设计，被列入吉尼斯世界纪录。,他的一千枚邮票是2000年由大卫·克洛克·埃伦施塔尔创作的宏伟的《瑞典国王的伟大功绩》，被列入吉尼斯世界纪录。,,,,,,
66,"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.",中局打者 Sachin Tendulkar 和 Rahul Dravid 表现不错，并且形成了百分之合作。,中游击球手，萨奇纳·坦德卡和拉胡尔·德雷德表现良好，并打出了一百分的合作。,,,,,,
188,"Chambers, an agnostic, argues that his lawsuit is ""frivolous"" and ""anybody can sue anybody.""",chambers，一个无神论者，认为他的诉讼是“无聊的”，并且“任何人可以起诉任何人”。,查默斯是一位不可知论者，他认为他的诉讼是“轻率的”，并且“任何人都可以起诉任何人”。,,,,,,
154,"Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.",在对阵南方姐妹队的比赛中明显生锈，然而南非队随着比赛的进行稳步提高。,在对抗南方的姐妹队伍的比赛中明显显得生锈，然而南非随着锦标赛的进行稳步提高。,,,,,,
88,"The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy.",工作的大部分是理论性的，但程序是用来模拟对人马座星系所做的观测的。,这项工作主要是理论性的，但该程序是为了模拟对射手座星系的观测而编写的。,,,,,,
114,"The outbreak has prompted the Indian government to undertake such measures as deployment of pig catchers in seriously affected areas, distributing thousands of mosquito curtains and spraying pesticides.",疫情促使印度政府采取此类措施：在严重受影响的地区部署捕猪人，分发数千个蚊帐，并喷洒杀虫剂。,疫情促使印度政府在严重受影响地区部署猪捕捉者，分发数千顶蚊帐并喷洒杀虫剂。,,,,,,
89,The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter.,团队寻找的效果将由银河系暗物质与 Milky Way 的暗物质之间的潮汐力引起。,团队所寻求的效果将由星系中的暗物质和银河系的暗物质之间的潮汐力引起。,,,,,,
93,Television reports show white smoke coming from the plant.,电视报道显示工厂冒出白烟。,电视报道显示白色烟雾来自该工厂。,,,,,,
20,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",这部电影由瑞安·高斯林和艾玛·斯通主演，获得了所有主要类别的提名。,这部电影由瑞安·高斯林和艾玛·斯通主演，在所有主要类别中都获得了提名。,,,,,,
56,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",基切尼夫人在阿根廷剧院宣布了她要参选总统的意向，这个地点也是她2005年竞选众议员时启动竞选活动的地方，当时她是布宜诺斯艾利斯省的代表。,基克纳夫人宣布她将在阿根廷剧院宣布参选总统，该剧院也是她作为布宜诺斯艾利斯省代表团成员开始2005年参议院竞选的地方。,,,,,,
26,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.",土耳其也将接管看管被俘的ISIS战俘，声明称欧洲国家拒绝遣返他们。,土耳其还将负责看管被俘的isis战斗人员，欧盟国家拒绝将其遣返，声明称。,,,,,,
185,"France is the seventh country in the European Union to suffer this virus; following Austria, Germany, Slovenia, Bulgaria, Greece and Italy.",法国是欧盟第七个遭受这种病毒的国家，紧随奥地利、德国、斯洛文尼亚、保加利亚、希腊和意大利之后。,法国是欧盟第七个遭受这种病毒的国家；在奥地利、德国、斯洛文尼亚、保加利亚、希腊和意大利之后。,,,,,,
177,"The final score was a one-point victory, 21 to 20, ending the All Blacks' 15 game winning streak.",最终比分是一分险胜，21比20，结束了全黑队的15场连胜。,最终比分是21比20，新西兰队的15连胜纪录就此结束。,,,,,,
50,The Iraq Study Group presented its report at 12.00 GMT today.,伊拉克研究小组今天上午12时呈交了其报告。,伊拉克研究小组今天中午格林尼治标准时间提交了他们的报告。,,,,,,
86,"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion.""",他[威尔斯]从一开始就基本上对我们撒了谎。首先，他假装这是出于法律原因。其次，他假装在听我们的话，直到删除他的艺术作品。,他（威尔士）从一开始基本上就在我们身上撒谎。首先，装作这是出于法律原因。其次，假装他在听我们说话，直到他删除了艺术作品。,,,,,,
52,The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,报告以呼吁开展开放辩论和在美国形成对中东政策的共识开头。,报告以呼吁公开辩论和在美国就中东政策达成共识开篇。,,,,,,
123,"The truck driver, who is aged 64, was not injured in the crash.",这位64岁的卡车司机在车祸中没有受伤。,那位64岁的卡车司机在车祸中未受伤。,,,,,,
159,Infrared images show that the temperature variations from night and day show that they are likely caves.,红外图像显示昼夜温差表明它们可能是洞穴。,红外图像显示昼夜温差表明这些地方可能是洞穴。,,,,,,
189,"The story presented in the French opera, by Camille Saint-Saens, is of an artist ""whose life is dictated by a love for drugs and Japan.""",法国作曲家圣-桑创作的歌剧中讲述的是一个艺术家，“他的生活被对药物和日本的爱所支配。,法国歌剧作曲家卡米尔·圣桑呈现的故事是一个“其生活被对药物和日本的热爱所支配”的艺术家。,,,,,,
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",我们现在有4个月大的非糖尿病小鼠，之前是糖尿病小鼠，他补充说。,我们现在有4个月大的无糖尿病的老鼠，它们曾经是糖尿病的。,,,,,,
122,"After the accident occurred, Gibson was transported to a hospital but died shortly afterwards.",事故之后，吉布森被送往医院，但不久后去世了。,事故发生后，吉布森被送往医院，但很快就去世了。,,,,,,
173,"Widespread looting reportedly continued overnight, as law enforcement officers were not present on Bishkek's streets.",据报道，大范围的抢劫在夜间持续进行，因为比什凯克街道上没有执法人员。,widespread 贩卖 据报道 整个 夜晚 都 在 继续 ， 因为 公安人员 没有 出现在 布尔马特 的 街道 上 。,,,,,,
21,Gosling and Stone received nominations for Best Actor and Actress respectively.,戈斯林和斯通分别获得了最佳男主角和最佳女主角的提名。,戈斯林和斯通分别获得了最佳男演员和女演员的提名。,,,,,,
30,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.",因为恐龙羽毛没有发育良好的主轴，称为羽轴，但有其他羽毛特征——羽枝和羽片——研究人员推断羽轴可能是这些其他特征的后进化发展。,由于恐龙羽毛没有发育良好的轴，称为羽轴，但具有羽毛的其他特征——小钩和微钩，研究人员推断羽轴可能是这些其他特征之后的进化发展。,,,,,,
99,"Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers.",一些病人可能在医院感染了病菌，莫尔医生认为，至少有两人是医院的工作人员。,有些病人可能是医院里感染上了病毒，莫尔医生认为，至少有两名是医院的医护人员。,,,,,,
184,"The strain of bird flu lethal to humans, H5N1, has been confirmed to have infected a dead wild duck, found on Monday, in marshland near Lyon in the east of France.",人类致命的禽流感病毒H5N1已被确认感染了一只周一在法国里昂以东的沼泽地发现的死野鸭。,人感染致命禽流感病毒的禽流感病毒株H5N1已确认感染了一只周一在法国东部里昂附近湿地发现的死野鸭。,,,,,,
157,"It had been scheduled to be cut down on Tuesday, but was saved after an emergency court ruling.",原定于周二砍伐，但在紧急法院裁决后得以幸存。,它本计划在周二被砍伐，但在紧急法庭裁决后得以保存。,,,,,,
45,"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""","当被问及评论时，米勒说：""迈克在听证会上说得很多……我正在准备，所以没有真正听到他说了什么。",当被问及评论时，米勒说：“在听证会上，迈克说了很多……我正准备着，所以并没有真正听到他在说什么。,,,,,,
111,Police said that the body appeared to have been there for about a day.,警方说尸体似乎在那里大约一天了。,警察说那具尸体似乎已经在这里大约一天了。,,,,,,
85,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,commons管理员亚当·库登德在上个月接受维基新闻采访时对删除行为表达了不满。,上个月接受维基新闻报道时， Commons管理员亚当·库尔登表达了对他人在删除操作上的不满。,,,,,,
22,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",其他提名包括最佳影片、导演、摄影、服装设计、电影剪辑、原创音乐、美术设计、声音剪辑、声音混合和原创剧本。,其他提名包括最佳影片、导演、摄影、服装设计、剪辑、原声音乐、美术设计、音效编辑、音轨混音和原创剧本。,,,,,,
101,"However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.","然而， SOUTH AFRICA 中某一时刻感染结核病的总人数中，耐多药结核病的比例似乎仍然较低；具体来说是 6,000 人占 330,000 人。","然而，在所有患有结核病的人群中，XDR-TB的百分比似乎仍然较低；南非在任何特定时刻感染的总人数为330,000人，其中6,000人。",,,,,,
118,"He produced over 1,000 stamps for Sweden and 28 other countries.",他为瑞典和其他28个国家生产了超过1000枚邮票。,他为瑞典和其他28个国家生产了超过1000枚邮票。,,,,,,
186,Suspected cases of H5N1 in Croatia and Denmark remain unconfirmed.,克罗地亚和丹麦的H5N1疑似病例尚未确认。,克罗地亚和丹麦的H5N1疑似病例尚未得到确认。,,,,,,
155,"Their disciplined defence, ball handling skills and excellent team work made them stand out and it was clear that this was the team to beat.",他们严谨的防守、控球技术和出色团队合作使他们脱颖而出，很明显这是一支值得击败的队伍。,他们纪律严明的防守、出色的控球技巧和卓越的团队合作让他们脱颖而出，很明显这支队伍是冠军之选。,,,,,,
40,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.",他被海盗抢劫，在西藏被狂犬攻击，逃过尼泊尔的婚姻并在印度被捕。,他被海盗抢劫，在西藏被疯狗袭击，逃离了尼泊尔的婚姻，并在印度被捕。,,,,,,
43,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,802.11n的传输速度远比其前身快得多，最大理论吞吐量为600Mbit/s。,802.11n的传输速度比其 predecessor 的速度快很多，理论最大吞吐量为600Mbit/s。,,,,,,
32,"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",研究人员建议，尽管这是一只幼龙的尾巴，但样本显示的是成年恐龙的羽毛而不是幼鸟的绒羽。,研究人员建议，尽管这是年轻恐龙的尾巴，但样本显示出成鸟的羽毛，而不是小鸡的绒毛。,,,,,,
179,"It was the final match for the All Blacks, who had already won the trophy two weeks ago.",这是黑金队最后的比赛，他们两周前已经赢得了奖杯。,它是新西兰队的最后一场比赛，他们两周前已经赢得了奖杯。,,,,,,
38,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.",罗森比数越小，恒星在磁场反转方面的活动就越少。,罗斯比数越小，恒星在磁极反转方面的活动性越低。,,,,,,
119,"His work is of such recognized quality and detail that he is one of the very few ""household names"" among philatelists. Some specialize in collecting his work alone.",他的作品因其公认的高质量和细节而闻名，是集邮爱好者中为数不多的“名人”之一。有些人专门收集他的作品。,他的作品质量上乘且细节精湛，使他成为集邮者中极少数的“家喻户晓”的名字之一。有些人专门收集他的作品。,,,,,,
37,"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.",亮度和自转一起用于确定一颗星的罗士比数，这与等离子体流动有关。,亮度和自转被一起用来确定一颗恒星的开尔文-赫姆霍兹数，它与等离子体流有关。,,,,,,
121,"He was also engaged in engraving banknotes for many countries, recent examples of his work including the Prime Ministerial portraits on the front of the new Canadian $5 and $100 bills.",他也参与了为许多国家雕刻钞票，他近期作品的例子包括加拿大新5元和100元钞票上的总理肖像。,他还在为许多国家雕刻钞票，近期作品包括加拿大新版5元和100元钞票正面的总理肖像。,,,,,,
171,"In late 2015, TogiNet established AstroNet Radio as a subsidiary station.",2015年末，TogiNet将AstroNet Radio设立为其子公司。,2015年底，TogiNet建立了AstroNet Radio作为子公司电台。,,,,,,
39,"During his trip, Iwasaki ran into trouble on many occasions.",在他的旅途中，岩崎遇到了很多麻烦。,在他旅行期间，岩崎遇到了许多麻烦。,,,,,,
33,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",土耳其加济安泰普警察总部昨日清晨发生汽车炸弹爆炸，造成两名警察死亡，另有二十多人受伤。,土耳其加济安泰普警察总部昨天早上发生了一起汽车炸弹爆炸事件，造成两名警察死亡，超过二十人受伤。,,,,,,
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",先前，Ring的首席执行官杰米·西蒙诺夫评论说，公司开始于他的门铃在他车库里的商店里听不见的时候。,以前，Ring的CEO杰米·西莫夫曾提到该公司是从他的门铃在车库店铺里听不见的时候开始的。,,,,,,
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",周一，瑞典学院诺贝尔文学奖评委会常任秘书萨拉·丹尼乌斯在瑞典斯韦登广播电台的一档广播节目中公开宣布，由于无法直接联系到鲍勃·迪伦关于2016年诺贝尔文学奖获奖事宜，评委会已放弃联系他的努力。,周一，瑞典文学院诺贝尔文学奖评审委员会的常任秘书莎拉·丹尼乌斯在瑞典广播公司的一档电台节目中公开宣布，由于无法直接联系鲍勃·迪伦告知他获得2016年诺贝尔文学奖的消息，委员会已经放弃了与其取得联系的努力。,,,,,,
167,"ASUS Eee PC, earlier launched world-wide for cost-saving and functionality factors, became a hot topic in 2007 Taipei IT Month.",华硕Eee PC因成本节约和功能性因素在2007年台北资讯月上成为热门话题，此前已在全球推出。,华硕Eee PC，早先因成本节约和功能因素在全球范围内推出，在2007年台北IT月成为热门话题。,,,,,,
35,Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,警方表示他们怀疑一名据称的达什（伊斯兰国）武装分子对此次袭击负责。,警方称他们怀疑一名所谓的大赦组织（ISIS）武装分子应对袭击负责。,,,,,,
149,Efforts to search for the crash site are being met by bad weather and harsh terrain.,搜寻坠机现场的努力正受到恶劣天气和险峻地形的阻碍。,搜寻坠机现场的尝试正受到恶劣天气和险峻地形的阻碍。,,,,,,
182,No immediate reports of damage have been received by the United States Geological Survey (USGS) and its National Earthquake Information Center.,美国地质调查局及其国家地震信息中心尚未收到有关损害的即时报告。,美国地质调查局（USGS）及其国家地震信息中心尚未收到有关损失的即时报告。,,,,,,
127,"Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.",巴厘岛议程上的其他议题包括拯救世界上剩余的森林，以及分享技术以帮助发展中国家以污染较少的方式发展。,巴厘岛议程上的其他议题还包括拯救世界上剩余的森林，以及分享技术以帮助发展中国家以更少污染的方式增长。,,,,,,
24,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.",周日深夜，美国总统唐纳德·特朗普通过其新闻秘书发表声明，宣布美国军队将离开叙利亚。,周日傍晚，美国总统唐纳德·特朗普通过新闻秘书发表声明称，美国军队将离开叙利亚。,,,,,,
105,The United States Strategic Command of the U.S. Department of Defense office is tracking the debris.,美国国防部战略命令办公室正在跟踪碎片。,美国国防部战略司令部正在追踪残骸。,,,,,,
125,"A person working in a garage near where the accident occurred said: ""There were children waiting to cross the road and they were all screaming and crying.""","事故现场附近的一个修车工说：""有很多孩子在等待过马路，他们都在尖叫和哭泣。",一位在事故发生地附近车库工作的人说：“有孩子在等过马路，他们都又喊又哭。,,,,,,
27,"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.",这不仅证实了至少有些恐龙有羽毛，这一理论早已普及，而且提供了化石通常无法提供的细节，例如颜色和三维排列。,这不仅证实了至少有些恐龙有羽毛，一个已经广为流传的理论，而且还提供了通常化石无法提供的细节，比如颜色和三维排列。,,,,,,
130,Fluke wrote that the efforts by some to drown out women from speaking out about women’s health were unsuccessful.,弗卢克写道，试图阻止女性就女性健康问题发声的努力是无效的。,弗鲁克写道，一些人试图压制女性就女性健康发声的努力失败了。,,,,,,
140,"Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.",尽管洪水过后水位仅会上升几英尺，官员们希望这足以恢复下游的沙洲。,尽管洪水过后水位仅会上涨几英尺，官员们希望这足以恢复下游的侵蚀沙洲。,,,,,,
135,"Soon, officers equipped with riot gear entered the yard and cornered the inmates with tear gas.",不久，身穿防暴装备的警察进入院子并用催泪瓦斯将囚犯逼入角落。,很快，穿着防暴装备的官员进入院子，并用催泪瓦斯逼停了犯人。,,,,,,
195,"The photographer was transported to Ronald Reagan UCLA Medical Center, where he subsequently died.",摄影师被送往罗纳德·里根加州大学洛杉矶分校医疗中心，随后在那里去世。,摄影师被送往罗纳德·里根加州大学洛杉矶医疗中心，随后在那里去世。,,,,,,
64,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,国会从2005财年开始资助淫秽倡议，并规定FBI必须派10名特工负责成人色情。,国会从2005财政年度开始资助淫秽物品倡议，并规定FBI必须投入10名特工处理成人色情内容。,,,,,,
174,"Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.",比什凯克被一位观察者描述为陷入“混乱”状态，因为一帮帮人横行街头，抢劫商店里的消费品。,比什凯克被一位观察者描述为陷入了一种“无政府状态”，一群群的人在街道上漫游并掠夺消费品商店。,,,,,,
97,Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.,托尼·莫尔博士在南非夸祖鲁-纳塔尔地区发现了极耐药结核病（XDR-TB）。,托尼·莫尔博士在南非的夸祖鲁-纳塔尔地区发现了耐多药结核病（XDR-TB）。,,,,,,
75,"According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue.",根据最新公报，海平面读数显示发生了海啸。在帕果帕果和纽埃附近记录到了一些确定的海啸活动。,根据最新公报，海平面读数表明产生了海啸。在帕果帕果和纽埃附近记录到了一些明确的海啸活动。,,,,,,
41,The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,802.11n标准在2.4GHz和5.0GHz频率上运行。,802.11n标准在2.4Ghz和5.0Ghz频段上运行。,,,,,,
183,"The earthquake was centered about 20 km (15 miles) north-northeast of Dillon, and about 65 km (40 miles) south of Butte.",地震震中位于迪利恩东北方向约20公里（15英里），距比尤特约65公里（40英里）向南。,地震的震中位于迪龙北约东北方向约20公里（15英里），并位于比尤特南约65公里（40英里）处。,,,,,,
69,He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,他受到了新加坡副总理黄根生的欢迎，并与新加坡总理李显龙讨论了贸易和恐怖主义问题。,他被新加坡副总理吴作栋迎接，并与新加坡总理李显龙讨论了贸易和恐怖主义问题。,,,,,,
53,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,这份报告几乎对执行当局目前对伊拉克政策的每一个方面都提出了严厉批评，并敦促立即改变方向。,报告对行政当局现行的对伊拉克政策几乎每个方面都进行了高度批评，并敦促立即改变方向。,,,,,,
106,The result of plotting analysis will be posted to a public website.,绘图分析的结果将被发布到一个公共网站。,绘制分析的结果将会发布到一个公共网站上。,,,,,,
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",美国体操协会和美国奥委会有着相同的目标——尽可能使体操及其他运动对运动员在安全、积极和赋权的环境中追逐梦想时更加安全。,USA体操协会和美国奥委会有相同的目標——让体操运动和其他运动尽可能安全，为运动员在一个安全、积极和支持的环境中追求梦想。,,,,,,
139,"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.",因此，两种鱼已经灭绝，另外两种鱼已经濒临灭绝，包括背斑鲑鱼。,因此，两种鱼类已经灭绝，另外两种成为濒危，包括座头鲸鲀。,,,,,,
94,"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.",当地当局警告工厂周边的居民待在室内，关闭空调，并不要饮用自来水。,当地政府警告工厂附近的居民待在室内，关闭空调，不要喝自来水。,,,,,,
